file	map	dur	bots	human	stalls	stall_pm	stall_max_bot	freezes	fz_max	fz_fire	routefail	rf_pm	trapped	abandon	unstick	engage	eng_pm	pursue	retreat	grab	goal	weapon	hazard	haz_pm	bot_deaths	bot_world	bot_lava_z	bot_lava_obit	bot_kills_human	human_kills_bot	human_deaths	human_world	bot_kills_bot	human_frg	bot_frg	frag_spread	cells	cells_pm	avg_spd	mode2	doors	lifts	boards	trains	jumps	rjump	swim	hunch	prefire	watch	shove
shane_dm2_snddbg.log	dm2	52	3	player	11	12.7	8	0	0	0	31	35.8	3	0	0	18	20.8	20	0	0	50	2	56	64.6	9	0	0	0	1	1	1	0	5		Zeus=1;Omi=0;Reap=2	2	196	226.2	253	40	0	1	0	0	14	0	0	0	0	0	0
shane_dm4_2026-08-14.log	dm4	96	3	player	30	18.8	14	0	0	0	11	6.9	0	3	0	26	16.3	0	0	0	88	0	0	0.0	17	11	11	0	0	3	1	1	3		Zeus=-3;Omi=-4;Reap=-2	2	312	195.6	203	69	0	0	0	0	44	0	90	0	0	0	0
shane_dm4_2026-08-14_v31.log	dm4	139	3	player	18	7.7	10	0	0	0	18	7.7	0	1	0	72	31.0	0	0	0	202	0	208	89.5	24	1	1	0	3	9	5	2	14		Zeus=4;Omi=3;Reap=9	6	415	178.6	260	77	0	0	0	0	31	0	0	0	0	0	0
shane_dm4_2026-08-14_v32.log	dm4	111	3	player	25	13.5	14	0	0	0	8	4.3	0	2	0	42	22.7	0	0	0	128	17	159	86.1	14	0	0	0	6	5	6	0	9		Zeus=7;Omi=3;Reap=5	4	300	162.5	242	79	0	0	0	0	55	0	0	0	0	0	0
shane_dm4_2026-08-17_jumps.log	dm4	173	3	player	46	16.0	30	0	0	0	21	7.3	0	5	0	58	20.2	0	0	0	176	34	200	69.5	12	3	3	0	2	0	3	1	9		Zeus=2;Omi=4;Reap=2	2	415	144.3	227	70	0	0	0	0	55	0	22	0	0	0	0
shane_dm4_2026-08-17_night.log	dm4	290	3	player	24	5.0	10	0	0	0	26	5.4	0	37	0	129	26.7	116	0	0	256	50	449	92.8	50	11	11	11	11	11	13	2	27		Zeus=6;Omi=11;Reap=9	5	666	137.7	259	59	0	0	0	0	61	0	46	0	0	0	0
shane_dm4_2026-08-17_v33.log	dm4	62	3	player	26	25.3	10	0	0	0	15	14.6	0	2	0	17	16.6	0	0	0	76	4	70	68.2	7	2	2	0	2	4	3	1	1		Zeus=0;Omi=0;Reap=1	1	180	175.3	224	82	0	0	0	0	52	0	11	0	0	0	0
shane_dm4_2026-08-17_v34.log	dm4	115	3	player	28	14.6	14	1	17.7	0	21	10.9	0	2	0	51	26.6	0	0	0	144	23	140	73.0	13	0	0	0	7	1	7	0	12		Zeus=6;Omi=9;Reap=4	5	300	156.4	231	78	0	0	0	0	46	0	0	0	0	0	0
shane_dm4_2026-08-17_v36.log	dm4	154	3	player	40	15.5	17	0	0	0	48	18.6	0	3	0	63	24.5	0	0	0	245	27	211	81.9	26	3	3	3	5	9	5	0	14		Zeus=4;Omi=5;Reap=7	3	404	156.9	224	74	0	0	0	0	88	0	34	0	0	0	0
shane_dm4_2026-08-17_v36b.log	dm4	99	3	player	30	18.2	15	0	0	0	19	11.5	0	2	0	44	26.7	0	0	0	133	34	134	81.2	12	1	1	1	7	2	7	0	9		Zeus=3;Omi=4;Reap=8	5	287	173.9	225	80	0	0	0	0	38	0	5	0	0	0	0
